shift_id,employee_id,site_id,shift_date,clock_in_time,clock_out_time
S103325,E1076,ST-03,2026-06-08,06:30,15:15
S103417,E1078,ST-03,2026-06-08,18:15,06:45
S103453,E1079,ST-05,2026-06-08,08:00,17:30
S103546,E1081,ST-04,2026-06-08,18:30,05:45
S103695,E1085,ST-04,2026-06-08,06:00,14:45
S103748,E1086,ST-03,2026-06-08,19:00,06:15
S103837,E1088,ST-05,2026-06-08,06:00,14:15
S103941,E1090,ST-05,2026-06-08,08:15,17:30
S103945,E1091,ST-06,2026-06-08,09:15,19:15
S104004,E1092,ST-04,2026-06-08,08:00,18:30
S104091,E1094,ST-04,2026-06-08,20:00,07:00
S104184,E1096,ST-02,2026-06-08,07:00,15:15
S104237,E1097,ST-02,2026-06-08,08:30,17:45
S104241,E1098,ST-03,2026-06-08,06:00,15:00
S104302,E1099,ST-02,2026-06-08,19:30,07:15
S104350,E1100,ST-06,2026-06-08,09:30,18:30
S104404,E1101,ST-06,2026-06-08,07:15,18:00
S104437,E1102,ST-04,2026-06-08,09:15,17:15
S104572,E1105,ST-04,2026-06-08,08:00,17:00
S104626,E1106,ST-01,2026-06-08,07:00,11:00
S104664,E1107,ST-04,2026-06-08,07:15,17:15
S104713,E1108,ST-06,2026-06-08,06:00,13:45
S104809,E1110,ST-06,2026-06-08,08:15,16:30
S104849,E1111,ST-05,2026-06-08,09:00,18:00
S104985,E1114,ST-01,2026-06-08,08:15,18:30
S105030,E1115,ST-06,2026-06-08,06:00,14:30
S105119,E1117,ST-03,2026-06-08,06:30,17:15
S105161,E1118,ST-03,2026-06-08,08:15,18:00
S105202,E1119,ST-02,2026-06-08,07:30,16:45
S105313,E1121,ST-03,2026-06-08,18:00,06:30
S105355,E1122,ST-03,2026-06-08,08:00,17:15
S105414,E1123,ST-01,2026-06-08,07:00,17:15
S105464,E1124,ST-04,2026-06-08,06:15,14:45
S105510,E1125,ST-05,2026-06-08,08:30,18:45
S105561,E1126,ST-06,2026-06-08,08:30,19:15
S105665,E1129,ST-04,2026-06-08,06:30,16:45
S105760,E1131,ST-01,2026-06-08,08:15,19:00
S105850,E1133,ST-01,2026-06-08,06:00,15:00
S105897,E1134,ST-04,2026-06-08,08:00,16:30
S105942,E1135,ST-05,2026-06-08,06:00,15:15
S106086,E1138,ST-01,2026-06-08,20:00,07:45
S106128,E1139,ST-03,2026-06-08,18:30,06:00
S106285,E1143,ST-02,2026-06-08,08:00,17:15
S106327,E1144,ST-06,2026-06-08,09:30,17:30
S106592,E1151,ST-04,2026-06-08,09:30,18:15
S106644,E1152,ST-06,2026-06-08,06:00,18:00
S106685,E1153,ST-02,2026-06-08,08:30,17:15
S106736,E1154,ST-04,2026-06-08,09:00,18:00
S106784,E1155,ST-03,2026-06-08,08:30,20:45
S106874,E1157,ST-05,2026-06-08,06:00,18:30
S106959,E1159,ST-06,2026-06-08,20:00,08:45
S106999,E1160,ST-01,2026-06-08,07:30,16:45
S107040,E1161,ST-05,2026-06-08,08:00,20:00
S107043,E1161,ST-01,2026-06-08,08:00,12:00
S107083,E1162,ST-03,2026-06-08,07:15,17:15
S107129,E1163,ST-01,2026-06-08,09:30,18:15
S107231,E1165,ST-05,2026-06-08,07:00,17:00
S107281,E1166,ST-06,2026-06-08,06:00,16:00
S107327,E1167,ST-02,2026-06-08,08:00,20:15
S107365,E1168,ST-04,2026-06-08,08:15,18:15
S107460,E1170,ST-05,2026-06-08,06:15,16:00
S107503,E1171,ST-02,2026-06-08,08:30,18:15
S107598,E1173,ST-05,2026-06-08,07:15,16:45
S107696,E1175,ST-03,2026-06-08,06:30,18:00
S107737,E1176,ST-06,2026-06-08,18:00,05:45
S107821,E1178,ST-03,2026-06-08,08:00,17:45
S107873,E1179,ST-05,2026-06-08,07:00,19:30
S107911,E1180,ST-06,2026-06-08,07:15,16:00
S108031,E1183,ST-06,2026-06-08,20:00,06:15
S108074,E1184,ST-06,2026-06-08,18:15,06:00
S108122,E1185,ST-04,2026-06-08,09:00,18:15
S108202,E1187,ST-04,2026-06-08,06:15,15:30
S108254,E1188,ST-02,2026-06-08,06:00,19:00
S108294,E1189,ST-03,2026-06-08,07:15,16:15
S108344,E1190,ST-05,2026-06-08,08:00,19:30
S108384,E1191,ST-01,2026-06-08,08:00,17:00
S108473,E1193,ST-03,2026-06-08,06:15,15:15
S108476,E1194,ST-01,2026-06-08,07:00,15:45
S108620,E1197,ST-02,2026-06-08,08:00,17:30
S108671,E1198,ST-04,2026-06-08,09:00,18:15
S108729,E1199,ST-05,2026-06-08,09:00,16:30
S108781,E1200,ST-04,2026-06-08,09:00,18:15
S108906,E1203,ST-03,2026-06-08,06:15,14:45
S108951,E1204,ST-02,2026-06-08,06:30,15:45
S109001,E1205,ST-02,2026-06-08,09:00,18:00
S109053,E1206,ST-03,2026-06-08,07:00,15:45
S109100,E1207,ST-02,2026-06-08,06:00,15:15
S109142,E1208,ST-01,2026-06-08,06:00,16:15
S109242,E1210,ST-03,2026-06-08,09:00,18:30
S109318,E1212,ST-06,2026-06-08,19:00,06:45
S109359,E1213,ST-03,2026-06-08,06:00,15:15
S100001,E1001,ST-01,2026-06-09,08:00,17:30
S100151,E1004,ST-03,2026-06-09,20:30,08:00
S100192,E1005,ST-05,2026-06-09,09:00,17:45
S100245,E1006,ST-04,2026-06-09,07:15,
S100283,E1007,ST-06,2026-06-09,08:15,20:15
S100319,E1008,ST-03,2026-06-09,09:00,21:30
S100396,E1010,ST-01,2026-06-09,07:15,16:00
S100492,E1012,ST-04,2026-06-09,09:00,18:45
S100575,E1014,ST-03,2026-06-09,08:00,20:00
S100608,E1015,ST-05,2026-06-09,09:00,19:15
S100656,E1016,ST-04,2026-06-09,06:30,15:30
S100706,E1017,ST-05,2026-06-09,09:30,21:30
S100827,E1020,ST-03,2026-06-09,06:15,15:15
S100869,E1021,ST-04,2026-06-09,06:15,18:00
S100904,E1022,ST-06,2026-06-09,08:00,18:30
S101041,E1025,ST-02,2026-06-09,08:15,17:45
S101089,E1026,ST-05,2026-06-09,06:30,18:30
S101126,E1027,ST-06,2026-06-09,08:00,17:30
S101178,E1028,ST-01,2026-06-09,06:00,15:45
S101273,E1030,ST-03,2026-06-09,07:00,
S101322,E1031,ST-05,2026-06-09,08:15,17:45
S101368,E1032,ST-01,2026-06-09,09:00,17:45
S101421,E1033,ST-01,2026-06-09,08:00,16:45
S101468,E1034,ST-02,2026-06-09,06:00,15:00
S101512,E1035,ST-01,2026-06-09,08:00,19:15
S101515,E1036,ST-03,2026-06-09,09:30,20:45
S101573,E1037,ST-03,2026-06-09,20:15,07:15
S101632,E1039,ST-04,2026-06-09,06:30,15:45
S101691,E1040,ST-03,2026-06-09,09:00,18:00
S101918,E1045,ST-05,2026-06-09,08:15,16:30
S101973,E1046,ST-03,2026-06-09,08:00,16:30
S102155,E1050,ST-01,2026-06-09,06:30,17:45
S102191,E1051,ST-06,2026-06-09,08:30,17:15
S102321,E1054,ST-03,2026-06-09,08:00,17:00
S102366,E1055,ST-06,2026-06-09,18:00,06:45
S102405,E1056,ST-03,2026-06-09,08:30,18:15
S102457,E1057,ST-01,2026-06-09,07:00,18:00
S102550,E1059,ST-05,2026-06-09,09:00,18:15
S102648,E1061,ST-02,2026-06-09,06:00,10:00
S102700,E1062,ST-05,2026-06-09,08:00,17:30
S102745,E1063,ST-05,2026-06-09,06:00,16:30
S102834,E1065,ST-03,2026-06-09,19:30,
S102872,E1066,ST-05,2026-06-09,08:15,18:15
S103091,E1071,ST-04,2026-06-09,06:00,10:00
S103177,E1073,ST-01,2026-06-09,06:30,17:15
S103223,E1074,ST-05,2026-06-09,09:00,17:30
S103275,E1075,ST-06,2026-06-09,06:00,14:15
S103326,E1076,ST-03,2026-06-09,06:00,15:15
S103418,E1078,ST-03,2026-06-09,20:00,08:00
S103454,E1079,ST-05,2026-06-09,08:15,19:00
S103547,E1081,ST-04,2026-06-09,19:15,06:30
S103580,E1082,ST-04,2026-06-09,08:00,20:00
S103655,E1084,ST-03,2026-06-09,09:30,20:15
S103696,E1085,ST-04,2026-06-09,08:00,16:15
S103749,E1086,ST-03,2026-06-09,20:00,08:00
S103838,E1088,ST-05,2026-06-09,07:00,15:00
S103892,E1089,ST-02,2026-06-09,07:00,16:15
S104005,E1092,ST-04,2026-06-09,06:30,16:30
S104048,E1093,ST-02,2026-06-09,06:15,15:30
S104092,E1094,ST-04,2026-06-09,19:00,05:45
S104094,E1094,ST-03,2026-06-09,18:00,22:00
S104185,E1096,ST-02,2026-06-09,06:15,15:30
S104303,E1099,ST-02,2026-06-09,20:30,09:00
S104351,E1100,ST-06,2026-06-09,08:00,17:00
S104405,E1101,ST-06,2026-06-09,09:00,20:45
S104524,E1104,ST-02,2026-06-09,06:00,15:30
S104623,E1106,ST-03,2026-06-09,08:00,20:15
S104627,E1106,ST-01,2026-06-09,06:00,10:00
S104714,E1108,ST-06,2026-06-09,07:15,16:00
S104763,E1109,ST-05,2026-06-09,08:00,17:15
S104850,E1111,ST-05,2026-06-09,07:00,16:45
S105077,E1116,ST-02,2026-06-09,07:15,19:30
S105120,E1117,ST-03,2026-06-09,06:30,16:45
S105203,E1119,ST-02,2026-06-09,08:15,17:15
S105314,E1121,ST-03,2026-06-09,20:00,07:15
S105356,E1122,ST-03,2026-06-09,09:00,18:00
S105465,E1124,ST-04,2026-06-09,08:00,17:00
S105511,E1125,ST-05,2026-06-09,06:15,15:45
S105666,E1129,ST-04,2026-06-09,07:00,15:45
S105705,E1130,ST-02,2026-06-09,08:30,18:15
S105804,E1132,ST-02,2026-06-09,18:00,06:15
S105851,E1133,ST-01,2026-06-09,07:00,16:15
S105898,E1134,ST-04,2026-06-09,08:00,17:15
S105943,E1135,ST-05,2026-06-09,06:00,15:00
S105996,E1136,ST-03,2026-06-09,08:00,17:00
S106041,E1137,ST-05,2026-06-09,08:00,16:30
S106087,E1138,ST-01,2026-06-09,20:15,07:15
S106163,E1140,ST-04,2026-06-09,07:00,16:00
S106328,E1144,ST-06,2026-06-09,06:00,15:45
S106368,E1145,ST-03,2026-06-09,18:00,06:00
S106436,E1147,ST-01,2026-06-09,08:00,19:30
S106472,E1148,ST-01,2026-06-09,07:30,16:00
S106551,E1150,ST-06,2026-06-09,18:00,07:00
S106593,E1151,ST-04,2026-06-09,07:00,15:30
S106686,E1153,ST-02,2026-06-09,09:30,18:15
S106737,E1154,ST-04,2026-06-09,08:00,16:30
S106785,E1155,ST-03,2026-06-09,08:00,19:45
S106875,E1157,ST-05,2026-06-09,06:00,19:00
S106915,E1158,ST-04,2026-06-09,07:00,16:30
S106960,E1159,ST-06,2026-06-09,18:00,06:30
S107000,E1160,ST-01,2026-06-09,08:00,17:30
S107044,E1161,ST-01,2026-06-09,06:00,10:00
S107084,E1162,ST-03,2026-06-09,09:00,
S107232,E1165,ST-05,2026-06-09,06:00,15:15
S107282,E1166,ST-06,2026-06-09,08:15,17:45
S107328,E1167,ST-02,2026-06-09,09:00,20:15
S107366,E1168,ST-04,2026-06-09,06:00,16:15
S107410,E1169,ST-05,2026-06-09,06:00,15:00
S107553,E1172,ST-04,2026-06-09,08:15,17:00
S107599,E1173,ST-05,2026-06-09,08:00,17:00
S107646,E1174,ST-01,2026-06-09,07:00,14:45
S107697,E1175,ST-03,2026-06-09,06:00,17:15
S107822,E1178,ST-03,2026-06-09,06:30,16:30
S107874,E1179,ST-05,2026-06-09,06:00,17:45
S107912,E1180,ST-06,2026-06-09,09:00,17:15
S107993,E1182,ST-05,2026-06-09,18:00,
S108075,E1184,ST-06,2026-06-09,18:00,06:30
S108169,E1186,ST-05,2026-06-09,07:00,19:30
S108203,E1187,ST-04,2026-06-09,07:00,16:15
S108295,E1189,ST-03,2026-06-09,08:00,17:45
S108345,E1190,ST-05,2026-06-09,07:00,19:00
S108437,E1192,ST-05,2026-06-09,08:15,20:45
S108537,E1195,ST-04,2026-06-09,08:15,18:00
S108672,E1198,ST-04,2026-06-09,08:00,18:00
S108677,E1198,ST-05,2026-06-09,07:00,11:00
S108730,E1199,ST-05,2026-06-09,06:00,15:00
S108782,E1200,ST-04,2026-06-09,08:00,17:15
S108829,E1201,ST-06,2026-06-09,07:00,
S108867,E1202,ST-06,2026-06-09,18:00,05:45
S109002,E1205,ST-02,2026-06-09,07:00,16:45
S109054,E1206,ST-03,2026-06-09,08:00,16:00
S109143,E1208,ST-01,2026-06-09,07:30,17:30
S109195,E1209,ST-05,2026-06-09,08:00,16:30
S109360,E1213,ST-03,2026-06-09,06:00,14:30
S100103,E1003,ST-03,2026-06-10,08:30,17:00
S100152,E1004,ST-03,2026-06-10,18:15,06:30
S100193,E1005,ST-05,2026-06-10,07:00,15:45
S100246,E1006,ST-04,2026-06-10,06:30,19:30
S100284,E1007,ST-06,2026-06-10,09:30,21:45
S100356,E1009,ST-02,2026-06-10,06:00,17:15
S100397,E1010,ST-01,2026-06-10,08:00,17:00
S100450,E1011,ST-01,2026-06-10,08:00,17:30
S100493,E1012,ST-04,2026-06-10,06:00,17:15
S100535,E1013,ST-04,2026-06-10,08:00,
S100609,E1015,ST-05,2026-06-10,07:30,17:15
S100657,E1016,ST-04,2026-06-10,06:15,16:15
S100707,E1017,ST-05,2026-06-10,08:00,20:00
S100828,E1020,ST-03,2026-06-10,08:00,16:30
S100949,E1023,ST-01,2026-06-10,06:00,15:30
S101042,E1025,ST-02,2026-06-10,09:00,19:00
S101127,E1027,ST-06,2026-06-10,07:00,16:00
S101220,E1029,ST-04,2026-06-10,09:30,17:45
S101274,E1030,ST-03,2026-06-10,07:00,16:30
S101323,E1031,ST-05,2026-06-10,09:00,18:00
S101369,E1032,ST-01,2026-06-10,09:30,19:15
S101422,E1033,ST-01,2026-06-10,08:00,17:45
S101513,E1035,ST-01,2026-06-10,07:30,20:15
S101633,E1039,ST-04,2026-06-10,06:00,14:30
S101692,E1040,ST-03,2026-06-10,09:00,17:45
S101741,E1041,ST-03,2026-06-10,08:15,19:00
S101782,E1042,ST-03,2026-06-10,06:00,18:15
S101825,E1043,ST-03,2026-06-10,06:15,16:00
S101919,E1045,ST-05,2026-06-10,08:30,17:45
S102018,E1047,ST-06,2026-06-10,08:00,18:15
S102060,E1048,ST-01,2026-06-10,09:00,17:45
S102108,E1049,ST-01,2026-06-10,06:00,16:15
S102192,E1051,ST-06,2026-06-10,09:30,18:00
S102243,E1052,ST-01,2026-06-10,09:00,17:00
S102287,E1053,ST-01,2026-06-10,19:15,08:00
S102322,E1054,ST-03,2026-06-10,06:30,14:45
S102367,E1055,ST-06,2026-06-10,19:30,07:15
S102502,E1058,ST-04,2026-06-10,08:00,17:30
S102551,E1059,ST-05,2026-06-10,08:00,18:45
S102601,E1060,ST-02,2026-06-10,06:30,16:00
S102644,E1061,ST-01,2026-06-10,06:30,15:15
S102649,E1061,ST-02,2026-06-10,08:00,12:00
S102701,E1062,ST-05,2026-06-10,08:15,18:30
S102746,E1063,ST-05,2026-06-10,09:00,18:30
S102793,E1064,ST-04,2026-06-10,08:15,17:30
S103011,E1069,ST-05,2026-06-10,08:00,20:30
S103224,E1074,ST-05,2026-06-10,09:00,18:15
S103375,E1077,ST-04,2026-06-10,18:30,05:45
S103455,E1079,ST-05,2026-06-10,06:00,15:15
S103502,E1080,ST-04,2026-06-10,08:00,17:30
S103581,E1082,ST-04,2026-06-10,07:15,19:30
S103619,E1083,ST-05,2026-06-10,19:15,07:45
S103697,E1085,ST-04,2026-06-10,07:15,16:30
S103750,E1086,ST-03,2026-06-10,20:15,08:15
S103795,E1087,ST-02,2026-06-10,08:30,
S103839,E1088,ST-05,2026-06-10,09:15,19:15
S103942,E1090,ST-05,2026-06-10,08:30,18:45
S103946,E1091,ST-06,2026-06-10,06:00,13:45
S104006,E1092,ST-04,2026-06-10,08:00,18:00
S104095,E1094,ST-03,2026-06-10,18:00,22:00
S104134,E1095,ST-03,2026-06-10,06:00,14:45
S104238,E1097,ST-02,2026-06-10,07:00,16:15
S104242,E1098,ST-03,2026-06-10,09:15,18:45
S104304,E1099,ST-02,2026-06-10,18:00,05:30
S104352,E1100,ST-06,2026-06-10,06:15,15:15
S104480,E1103,ST-06,2026-06-10,09:15,18:30
S104525,E1104,ST-02,2026-06-10,08:15,17:45
S104665,E1107,ST-04,2026-06-10,08:00,17:15
S104764,E1109,ST-05,2026-06-10,07:00,15:15
S104810,E1110,ST-06,2026-06-10,08:00,16:30
S104934,E1113,ST-02,2026-06-10,06:00,15:00
S104986,E1114,ST-01,2026-06-10,07:00,15:45
S105078,E1116,ST-02,2026-06-10,07:00,18:00
S105121,E1117,ST-03,2026-06-10,07:00,16:45
S105204,E1119,ST-02,2026-06-10,06:00,16:30
S105259,E1120,ST-01,2026-06-10,07:00,17:00
S105415,E1123,ST-01,2026-06-10,07:00,16:15
S105512,E1125,ST-05,2026-06-10,06:00,15:00
S105564,E1127,ST-04,2026-06-10,07:15,16:15
S105624,E1128,ST-04,2026-06-10,06:00,19:00
S105667,E1129,ST-04,2026-06-10,08:00,17:45
S105710,E1130,ST-03,2026-06-10,07:00,11:00
S105761,E1131,ST-01,2026-06-10,06:30,17:30
S105852,E1133,ST-01,2026-06-10,07:00,16:30
S105899,E1134,ST-04,2026-06-10,07:15,15:30
S105944,E1135,ST-05,2026-06-10,06:30,15:45
S105997,E1136,ST-03,2026-06-10,06:30,16:15
S106042,E1137,ST-05,2026-06-10,07:30,15:45
S106211,E1141,ST-01,2026-06-10,07:15,19:00
S106245,E1142,ST-03,2026-06-10,07:30,20:00
S106329,E1144,ST-06,2026-06-10,08:00,17:30
S106402,E1146,ST-04,2026-06-10,18:15,07:15
S106473,E1148,ST-01,2026-06-10,08:00,18:00
S106514,E1149,ST-05,2026-06-10,08:00,19:15
S106594,E1151,ST-04,2026-06-10,07:15,16:15
S106645,E1152,ST-06,2026-06-10,07:30,19:30
S106687,E1153,ST-02,2026-06-10,06:00,14:45
S106786,E1155,ST-03,2026-06-10,08:00,20:15
S106823,E1156,ST-04,2026-06-10,07:00,16:45
S106916,E1158,ST-04,2026-06-10,08:15,17:30
S107085,E1162,ST-03,2026-06-10,06:00,15:15
S107130,E1163,ST-01,2026-06-10,06:30,15:15
S107283,E1166,ST-06,2026-06-10,06:00,16:00
S107411,E1169,ST-05,2026-06-10,06:30,15:00
S107461,E1170,ST-05,2026-06-10,07:00,18:00
S107554,E1172,ST-04,2026-06-10,08:00,17:45
S107600,E1173,ST-05,2026-06-10,08:00,17:00
S107647,E1174,ST-01,2026-06-10,07:00,16:45
S107738,E1176,ST-06,2026-06-10,19:00,06:45
S107778,E1177,ST-02,2026-06-10,08:00,17:00
S107823,E1178,ST-03,2026-06-10,08:00,17:30
S107875,E1179,ST-05,2026-06-10,07:30,19:30
S107913,E1180,ST-06,2026-06-10,08:00,16:00
S107960,E1181,ST-04,2026-06-10,20:15,07:15
S107994,E1182,ST-05,2026-06-10,20:30,07:30
S108032,E1183,ST-06,2026-06-10,18:00,06:15
S108123,E1185,ST-04,2026-06-10,08:15,17:45
S108170,E1186,ST-05,2026-06-10,06:00,17:45
S108296,E1189,ST-03,2026-06-10,06:15,16:00
S108346,E1190,ST-05,2026-06-10,07:15,19:15
S108385,E1191,ST-01,2026-06-10,07:00,15:45
S108438,E1192,ST-05,2026-06-10,09:00,21:30
S108474,E1193,ST-03,2026-06-10,08:30,17:30
S108585,E1196,ST-04,2026-06-10,18:00,
S108621,E1197,ST-02,2026-06-10,08:00,16:15
S108673,E1198,ST-04,2026-06-10,09:00,18:30
S108678,E1198,ST-05,2026-06-10,08:30,12:30
S108731,E1199,ST-05,2026-06-10,08:30,17:45
S108783,E1200,ST-04,2026-06-10,08:00,17:00
S108830,E1201,ST-06,2026-06-10,08:00,20:15
S108868,E1202,ST-06,2026-06-10,19:30,08:00
S108907,E1203,ST-03,2026-06-10,08:30,17:30
S108952,E1204,ST-02,2026-06-10,09:30,18:00
S109003,E1205,ST-02,2026-06-10,06:00,15:15
S109101,E1207,ST-02,2026-06-10,09:30,19:30
S109144,E1208,ST-01,2026-06-10,09:00,18:15
S100002,E1001,ST-01,2026-06-11,09:00,17:30
S100049,E1002,ST-02,2026-06-11,08:15,17:15
S100104,E1003,ST-03,2026-06-11,08:00,16:00
S100320,E1008,ST-03,2026-06-11,07:00,19:15
S100357,E1009,ST-02,2026-06-11,08:00,19:30
S100398,E1010,ST-01,2026-06-11,09:30,17:45
S100494,E1012,ST-04,2026-06-11,08:15,17:00
S100610,E1015,ST-05,2026-06-11,06:00,16:30
S100658,E1016,ST-04,2026-06-11,08:30,17:00
S100708,E1017,ST-05,2026-06-11,09:30,23:00
S100742,E1018,ST-01,2026-06-11,09:15,18:30
S100782,E1019,ST-05,2026-06-11,08:30,17:30
S100905,E1022,ST-06,2026-06-11,09:00,19:00
S100950,E1023,ST-01,2026-06-11,08:30,17:00
S100994,E1024,ST-01,2026-06-11,08:30,19:00
S101043,E1025,ST-02,2026-06-11,06:15,16:30
S101090,E1026,ST-05,2026-06-11,09:00,20:15
S101128,E1027,ST-06,2026-06-11,08:00,15:45
S101179,E1028,ST-01,2026-06-11,06:30,15:30
S101275,E1030,ST-03,2026-06-11,09:00,18:30
S101370,E1032,ST-01,2026-06-11,06:00,14:15
S101516,E1036,ST-03,2026-06-11,07:15,18:15
S101574,E1037,ST-03,2026-06-11,18:30,08:00
S101602,E1038,ST-06,2026-06-11,09:00,21:45
S101634,E1039,ST-04,2026-06-11,06:00,15:30
S101693,E1040,ST-03,2026-06-11,06:00,14:45
S101783,E1042,ST-03,2026-06-11,07:00,18:45
S101875,E1044,ST-02,2026-06-11,19:00,06:45
S101920,E1045,ST-05,2026-06-11,09:30,18:00
S101974,E1046,ST-03,2026-06-11,09:15,18:45
S102156,E1050,ST-01,2026-06-11,06:15,18:00
S102193,E1051,ST-06,2026-06-11,06:30,15:15
S102244,E1052,ST-01,2026-06-11,07:00,17:30
S102288,E1053,ST-01,2026-06-11,19:00,06:30
S102323,E1054,ST-03,2026-06-11,09:30,17:45
S102406,E1056,ST-03,2026-06-11,07:00,15:45
S102552,E1059,ST-05,2026-06-11,06:30,16:00
S102602,E1060,ST-02,2026-06-11,08:00,17:15
S102645,E1061,ST-01,2026-06-11,08:00,17:30
S102747,E1063,ST-05,2026-06-11,06:00,15:45
S102835,E1065,ST-03,2026-06-11,20:15,07:45
S102873,E1066,ST-05,2026-06-11,08:15,17:15
S102964,E1068,ST-01,2026-06-11,06:00,15:15
S103012,E1069,ST-05,2026-06-11,07:00,20:00
S103092,E1071,ST-04,2026-06-11,06:00,10:00
S103137,E1072,ST-06,2026-06-11,08:00,17:30
S103178,E1073,ST-01,2026-06-11,07:00,18:00
S103225,E1074,ST-05,2026-06-11,06:30,15:15
S103276,E1075,ST-06,2026-06-11,08:00,17:15
S103327,E1076,ST-03,2026-06-11,08:15,17:45
S103376,E1077,ST-04,2026-06-11,18:15,06:00
S103456,E1079,ST-05,2026-06-11,08:15,19:00
S103656,E1084,ST-03,2026-06-11,08:30,20:15
S103698,E1085,ST-04,2026-06-11,06:00,14:15
S103751,E1086,ST-03,2026-06-11,20:30,07:30
S103796,E1087,ST-02,2026-06-11,06:00,18:30
S103893,E1089,ST-02,2026-06-11,08:15,16:15
S103943,E1090,ST-05,2026-06-11,07:00,15:15
S103947,E1091,ST-06,2026-06-11,08:00,17:15
S104049,E1093,ST-02,2026-06-11,09:15,18:00
S104135,E1095,ST-03,2026-06-11,08:00,17:45
S104186,E1096,ST-02,2026-06-11,06:00,14:45
S104239,E1097,ST-02,2026-06-11,06:00,15:30
S104243,E1098,ST-03,2026-06-11,08:30,18:30
S104353,E1100,ST-06,2026-06-11,07:15,17:00
S104438,E1102,ST-04,2026-06-11,08:00,16:00
S104526,E1104,ST-02,2026-06-11,08:00,18:45
S104573,E1105,ST-04,2026-06-11,08:30,18:00
S104851,E1111,ST-05,2026-06-11,09:30,18:00
S104900,E1112,ST-05,2026-06-11,06:00,17:45
S104935,E1113,ST-02,2026-06-11,06:30,16:00
S104987,E1114,ST-01,2026-06-11,06:15,14:45
S105031,E1115,ST-06,2026-06-11,09:00,17:30
S105122,E1117,ST-03,2026-06-11,06:30,16:00
S105260,E1120,ST-01,2026-06-11,06:30,15:30
S105315,E1121,ST-03,2026-06-11,18:00,06:15
S105357,E1122,ST-03,2026-06-11,08:15,17:30
S105565,E1127,ST-04,2026-06-11,09:00,
S105625,E1128,ST-04,2026-06-11,08:00,20:15
S105706,E1130,ST-02,2026-06-11,06:00,15:45
S105762,E1131,ST-01,2026-06-11,07:00,17:00
S105805,E1132,ST-02,2026-06-11,19:00,08:00
S105853,E1133,ST-01,2026-06-11,09:15,17:45
S105945,E1135,ST-05,2026-06-11,07:15,16:30
S106043,E1137,ST-05,2026-06-11,06:30,15:30
S106088,E1138,ST-01,2026-06-11,18:00,06:00
S106129,E1139,ST-03,2026-06-11,18:15,07:00
S106164,E1140,ST-04,2026-06-11,07:00,16:30
S106246,E1142,ST-03,2026-06-11,06:00,17:15
S106286,E1143,ST-02,2026-06-11,07:00,16:15
S106330,E1144,ST-06,2026-06-11,07:00,12:45
S106369,E1145,ST-03,2026-06-11,19:00,07:00
S106437,E1147,ST-01,2026-06-11,06:15,17:00
